Title,Snowballing?,SnowBallingMethod,Year,Venue,VenueType,VenueWithinSE?,Source,SEActivity,SEProblem,NumOfProbObj,NumOfObj,Constraints?,QuantumOpType,QuantumInspired?,BaseAlgorithm,QuantuamMechanism,QuantumAlgorithm,QuantumProgramming Platform,MathematicalModel,ClassicalMannerForHybrid,QuantumComputingBackend,SimulatorType,ChallengeLabel
A tolerance-based memetic algorithm for constrained covering array generation,Y,[Forward],[2023],[Memetic Computing],[Journal],[N],[Springer],[Software testing],[Covering array generation],[Single],[Single],[Y],[Classical],[Quantum-inspired],[PSO],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Solution improvement]
A memetic algorithm for high-strength covering array generation,Y,[Forward],[2023],[IET Software],[Journal],[Y],[IEEE]; [Web of Science],[Software testing],[Covering array generation],[Single],[Single],[N],[Classical],[Quantum-inspired],[PSO],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Solution improvement]
Quantum-Inspired Genetic Algorithm for Solving the Test Suite Minimization Problem,Y,[Backward],[2020],[WSEAS Transactions on Computers],[Journal],[N],[IEEE]; [Web of Science],[Software testing],[Test suite minimization],[Single],[Single],[Y],[Classical],[Quantum-inspired],[GA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[None]
Quantum inspired genetic algorithm and optimization of queuing delay,Y,[Forward],[2024],[IEEE Region 10 Conference (TENCON)],[Conference],[N],[IEEE],[Software engineering operations],[Queuing delay optimization],[Multiple],[Single],[Y],[Classical],[Quantum-inspired],[GA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[None]
A Novel Approach for Service Function Chain Embedding in Cloud Datacenter Networks,Y,[Forward],[2020],[IEEE Communications Letters (ICL)],[Journal],[N],[IEEE],[Software engineering operations],[Network delay optimization],[Single],[Single],[Y],[Classical],[Quantum-inspired],[GA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[None]
Energy-efficient task offloading and efficient resource allocation for edge computing: a quantum inspired particle swarm optimization approach,Y,[Forward],[2025],[Cluster Computing],[Journal],[N],[Springer],[Software engineering operations],[Scheduling problem],[Multiple],[Single],[Y],[Classical],[Quantum-inspired],[PSO],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible approaches]
A Cooperative Hybrid Quantum-Inspired Salp Swarm and Differential Evolution for Solving CEC 2022 Benchmark and Controller Placement Problems in Software Defined Networks,Y,[Forward],[2024],[IEEE Access],[Journal],[N],[IEEE],[Software engineering operations],[Controller placement],[Multiple],[Multiple],[N],[Classical],[Quantum-inspired],[SSA],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Real-world scenarios; Extensible approaches]
Multi-objective routing optimization for 6G communication networks using a quantum approximate optimization algorithm,Y,[Forward],[2022],[Sensors],[Journal],[N],[IEEE]; [Web of Science],[Software engineering operations],[Routing optimization],[Single]; [Multiple],[Single]; [Multiple],[Y],[Hybrid],N/A,N/A,N/A,[QAOA],[Qiskit],[QUBO; Ising model],[Algorithm-inherent],[Quantum hardware],N/A,[NISQ era]
HPCP-QCWOA: High Performance Clustering Protocol based on Quantum Clone Whale Optimization Algorithm in Integrated Energy System,Y,[Forward],[2022],[Future Generation Computer Systems],[Journal],[N],[Elsevier],[Software engineering operations],[Clustering protocol optimization],[Many],[Single],[Y],[Classical],[Quantum-inspired],[WOA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible problems; Benchmark scalability]
Quantum Inspired Task Optimization for IoT Edge Fog Computing Environment,Y,[Forward],[2022],[Mathematics],[Journal],[N],[IEEE]; [Web of Science],[Software engineering operations],[Allocation problem],[Multiple],[Single],[Y],[Classical],[Quantum-inspired],Un-specified ,[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible problems]
Resource Optimization of SFC Embedding for IoT Networks Using Quantum Computing,Y,[Forward],[2022],[International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD)],[Workshop],[N],[IEEE],[Software engineering operations],[Allocation problem],[Multiple],[Single],[Y],[Hybrid],N/A,N/A,N/A,[QA],[D-Wave],[QUBO],[User-side; Platform],[Quantum hardware],N/A,[None]
Warm and Cold Start Quantum Annealing for Metaverse Resource Optimization,Y,[Forward],[2024],[IEEE Open Journal of the Communications Society],[Journal],[N],[IEEE],[Software engineering operations],[Allocation problem],[Multiple],[Single],[Y],[Hybrid],N/A,N/A,N/A,[QA],[D-Wave],[QUBO],[User-side; Platform],[Quantum hardware],N/A,[Extensible problems]
Optimal sensor spacing in IoT network based on quantum computing technology,Y,[Forward],[2023],"[International Journal of Parallel, Emergent and Distributed Systems]",[Journal],[N],[IEEE]; [Web of Science],[Software engineering operations],[Routing optimization],[Many],[Single],[Y],[Classical],[Quantum-inspired],[ROA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[None]
Performance-Driven QUBO for Recommender Systems on Quantum Annealers,Y,[Forward],[2024],[Arxiv],[Open-Access Archive],[N],[Arxiv],[Software design],[Feature selection],[Single],[Single],[Y],[Quantum],N/A,N/A,N/A,[QA],[D-Wave],[QUBO],[Platform],[Quantum hardware],N/A,[None]
