Author,Title,Year,DOI,Link,Type,Venue,Abstract,Source
"Xia, Peng and Lu, Gang and Yuan, Bo and Zhao, Qiuli and Liang, Facun",Quantum Genetic Optimization Algorithm for Carbon Reduction Demand Response in Parks Targeting Carbon Quotas,2024,10.1145/3690407.3690537,https://doi.org/10.1145/3690407.3690537,Conference paper,"CAIBDA '24: Proceedings of the 2024 4th International Conference on Artificial Intelligence, Big Data and Algorithms","The allocation of carbon quotas affects the carbon reduction behavior of park enterprises. Enterprises can reduce carbon emissions under the carbon quota system to meet the requirements of carbon quotas and achieve carbon reduction demand response. In order to motivate enterprises to find more cost-effective ways to reduce carbon emissions and promote the diversification of carbon reduction demand response methods, a quantum genetic optimization algorithm for carbon quota oriented park carbon reduction demand response is proposed. From the perspective of load side autonomous response, establish a demand side response thermal and electrical load model for the park, use the benchmark method to allocate carbon quotas for carbon reduction in the park, and set up a carbon reduction trading mechanism. On this basis, with the objective function of minimizing comprehensive cost and coal consumption, constraints are set to construct a carbon reduction model for the park. Quantum genetic optimization algorithm is used to solve the park's carbon reduction model, achieving carbon quota oriented park carbon reduction. The experimental results show that the method proposed in this paper can effectively achieve carbon reduction in industrial parks and has a good effect on carbon reduction in industrial parks.",ACM
"Yuan, Charles and Carbin, Michael",The T-Complexity Costs of Error Correction for Control Flow in Quantum Computation,2024,10.1145/3656397,https://doi.org/10.1145/3656397,Journal,Proc. ACM Program. Lang.,"Numerous quantum algorithms require the use of quantum error correction to overcome the intrinsic unreliability of physical qubits. However, quantum error correction imposes a unique performance bottleneck, known as T-complexity, that can make an implementation of an algorithm as a quantum program run more slowly than on idealized hardware. In this work, we identify that programming abstractions for control flow, such as the quantum if-statement, can introduce polynomial increases in the T-complexity of a program. If not mitigated, this slowdown can diminish the computational advantage of a quantum algorithm. To enable reasoning about the costs of control flow, we present a cost model that a developer can use to accurately analyze the T-complexity of a program under quantum error correction and pinpoint the sources of slowdown. To enable the mitigation of these costs, we present a set of program-level optimizations that a developer can use to rewrite a program to reduce its T-complexity, predict the T-complexity of the optimized program using the cost model, and then compile it to an efficient circuit via a straightforward strategy. We implement the program-level optimizations in Spire, an extension of the Tower quantum compiler. Using a set of 11 benchmark programs that use control flow, we empirically show that the cost model is accurate, and that Spire＊s optimizations recover programs that are asymptotically efficient, meaning their runtime T-complexity under error correction is equal to their time complexity on idealized hardware. Our results show that optimizing a program before it is compiled to a circuit can yield better results than compiling the program to an inefficient circuit and then invoking a quantum circuit optimizer found in prior work. For our benchmarks, only 2 of 8 tested quantum circuit optimizers recover circuits with asymptotically efficient T-complexity. Compared to these 2 optimizers, Spire uses 54\texttimes{}每2400\texttimes{} less compile time.",ACM
"d'Aloisio, Giordano and Fortz, Sophie and Hanna, Carol and Fortunato, Daniel and Bensoussan, Avner and Mendiluze Usandizaga, E\~{n}aut and Sarro, Federica",Exploring LLM-Driven Explanations for Quantum Algorithms,2024,10.1145/3674805.3690753,https://doi.org/10.1145/3674805.3690753,Conference paper,ESEM '24: Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,"Background: Quantum computing is a rapidly growing new programming paradigm that brings significant changes to the design and implementation of algorithms. Understanding quantum algorithms requires knowledge of physics and mathematics, which can be challenging for software developers. Aims: In this work, we provide a first analysis of how LLMs can support developers＊ understanding of quantum code. Method: We empirically analyse and compare the quality of explanations provided by three widely adopted LLMs (Gpt3.5, Llama2, and Tinyllama) using two different human-written prompt styles for seven state-of-the-art quantum algorithms. We also analyse how consistent LLM explanations are over multiple rounds and how LLMs can improve existing descriptions of quantum algorithms. Results: Llama2 provides the highest quality explanations from scratch, while Gpt3.5 emerged as the LLM best suited to improve existing explanations. In addition, we show that adding a small amount of context to the prompt significantly improves the quality of explanations. Finally, we observe how explanations are qualitatively and syntactically consistent over multiple rounds. Conclusions: This work highlights promising results, and opens challenges for future research in the field of LLMs for quantum code explanation. Future work includes refining the methods through prompt optimisation and parsing of quantum code explanations, as well as carrying out a systematic assessment of the quality of explanations.",ACM
"Jang, Enhyeok and Ha, Dongho and Choi, Seungwoo and Kim, Youngmin and Kwon, Jaewon and Lee, Yongju and Ahn, Sungwoo and Kim, Hyungseok and Ro, Won Woo",Recompiling QAOA Circuits on Various Rotational Directions,2024,10.1145/3656019.3676899,https://doi.org/10.1145/3656019.3676899,Conference paper,PACT '24: Proceedings of the 2024 International Conference on Parallel Architectures and Compilation Techniques,"The quantum approximate optimization algorithm (QAOA) is introduced to efficiently solve combinatorial optimization problems. Despite the promise of QAOA, the cost of executing QAOA circuits at scale for quantum advantage may still be excessive for the near-future quantum device. We observe the increasing overhead of QAOA circuit execution in the native gate translation. To execute QAOA circuits on a real quantum computing device, Hamiltonians composed of predefined specific rotations (e.g., ZZ and X) should be decomposed into finite native gates. By adopting rotational combinations that utilize native gates more directly than the standard QAOA circuit model, the execution cost on real quantum devices can be reduced. In this study, we propose Racoon (Rotational Space Virtualization for QAOA Ansatz), an algorithm-hardware co-design approach that revisits the synthesis conditions of QAOA circuits and selects alternative candidates with different rotational combinations. Our analysis of six commercial quantum processors demonstrates that applying Racoon to QAOA circuits for the 4-node Sherrington-Kirkpatrick model reduces the number of native gates by an average of 23% and up to 79%. Consequently, using Racoon results in 43% fewer training epochs, 41% lower training energy consumption, and a 6% improvement in inference on average compared to standard QAOA. Racoon consistently reduces circuit depth as the number of qubits and layers increases, achieving 123 \texttimes{} more circuit depth reduction compared to the recently proposed Depth First Search (DFS)-based method. Furthermore, we confirm that Racoon＊s method can be extended to State-of-The-Art QAOAs with modified ans\""{a}tze and to the variational quantum eigensolver (VQE).",ACM
"Jhaveri, Samyak and Krone-Martins, Alberto and Lopes, Cristina V.",Cloning and Beyond: A Quantum Solution to Duplicate Code,2023,10.1145/3622758.3622889,https://doi.org/10.1145/3622758.3622889,Conference paper,"Onward! 2023: Proceedings of the 2023 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software","Quantum computers are becoming a reality. The advantage of quantum computing is that it has the potential to solve computationally complex problems in a fixed amount time, independent of the size of the problem. However, the kinds of problems for which these computers are a good fit, and the ways to express those problems, are substantially different from the kinds of problems and expressions used in classical computing. Quantum annealers, in particular, are currently the most promising and available quantum computing devices in the short term. However, they are also the most foreign compared to classical programs, as they require a different kind of computational thinking. In order to ease the transition into this new world of quantum computing, we present a novel quantum approach to a well-known software problem: code clone detection. We express code clone detection as a subgraph isomorphism problem that is mapped into a quadratic optimization problem, and solve it using a DWave quantum annealing computer. We developed a quantum annealing algorithm that compares Abstract Syntax Trees (AST) and reports an energy value that indicates how similar they are. The motivation behind this research goes well beyond code duplicate detection: our approach paves the way into how to express software engineering problems as optimization problems that can be solved by quantum annealers.",ACM
"Volpe, Deborah and Cirillo, Giovanni and Zamboni, Maurizio and Graziano, Mariagrazia and Turvani, Giovanna",Improving the exploitability of Simulated Adiabatic Bifurcation through a flexible and open-source digital architecture,2024,10.1145/3665281,https://doi.org/10.1145/3665281,Journal,ACM Transactions on Quantum Computing,"Combinatorial Optimization (CO) problems exhibit exponential complexity, constraining classical computers from providing fast and satisfactory outcomes. Quantum Computers (QCs) can effectively find optimal or near-optimal solutions by exploring the solutions space of a problem encoded in a qubits system, exploiting principles of quantum mechanics. However, non-idealities and high costs limit their availability. These can be overcome by emulating QCs on cheaper and more accessible classical computing platforms, like Field-Programmable Gate Arrays (FPGAs). This article presents a digital architecture, implementing the Ising-compatible Simulated Adiabatic Bifurcation algorithm. It mimics the quantum adiabatic evolution of a network of non-linear Kerr oscillators. The architecture, described in VHDL and targeting FPGAs, consists of processing elements for computing the Kerr oscillators＊ evolution, a set of units considering their Ising-related interactions and an evolution variables update unit. The proposed approach includes a speedup-targeting approximation of the algorithm, a method for handling single-variable constraints, and a software model that allows architecture customization for specific problems. Tests were conducted using an Altera Cyclone V SoC with FPGA logic and the Nios II processor for interface purposes. The results demonstrate the functionality of the architecture and its scalability with the problem size, making it suitable for real-world applications.",ACM
"Ammermann, Joshua and Brenneisen, Fabian Jakob and Bittner, Tim and Schaefer, Ina",Quantum Solution for Configuration Selection and Prioritization,2024,10.1145/3643667.3648221,https://doi.org/10.1145/3643667.3648221,Conference paper,Q-SE 2024: Proceedings of the 5th ACM/IEEE International Workshop on Quantum Software Engineering,"The analyses of highly configurable systems, as applied in software or automotive domains, yield hard problems due to the exponentially increasing number of possible product configurations. Current research identified that such combinatorial optimization problems, e.g. configuration selection and prioritization, are ideal targets for expected exponential quantum speedups. However, empirical evidence about the applicability of quantum computing to these problems is still missing. In this paper, we investigate how the constraint satisfaction and optimization problems of configuration selection and prioritization can be addressed using quantum computing. We propose a method to transform the configuration selection and prioritization problems encoded in attributed feature models into a quantum mechanical formulation suitable for optimization problems. We provide a Python library to automatically perform this transformation and apply the Quantum Approximate Optimization Algorithm (QAOA), such that configuration selection and prioritization are solved with quantum computers. Our approach is evaluated regarding feasibility, solution quality, and scalability. We show that QAOA obtains good results regarding configuration selection, but for configuration prioritization, the approach needs further improvement.","ACM, IEEE"
"Hua, Fei and Chen, Yanhao and Jin, Yuwei and Zhang, Chi and Hayes, Ari and Zhang, Youtao and Zhang, Eddy Z.",AutoBraid: A Framework for Enabling Efficient Surface Code Communication in Quantum Computing,2021,10.1145/3466752.3480072,https://doi.org/10.1145/3466752.3480072,Conference paper,MICRO '21: Proceedings of the 54th Annual IEEE/ACM International Symposium on Microarchitecture,"Quantum computers can solve problems that are intractable using the most powerful classical computer. However, qubits are fickle and error prone. It is necessary to actively correct errors in the execution of a quantum circuit. Quantum error correction (QEC) codes are developed to enable fault-tolerant quantum computing. With QEC, one logical circuit is converted into an encoded circuit. Most studies on quantum circuit compilation focus on NISQ devices which have 10-100 qubits and are not fault-tolerant. In this paper, we focus on the compilation for fault-tolerant quantum hardware. In particular, we focus on optimizing communication parallelism for the surface code based QEC. The execution of surface code circuits involves non-trivial geometric manipulation of a large lattice of entangled physical qubits. A two-qubit gate in surface code is implemented as a virtual ※pipe§ in space-time called a braiding path. The braiding paths should be carefully routed to avoid congestion. Communication between qubits is considered the major bottleneck as it involves scheduling and searching for simultaneous paths between qubits. We provide a framework for efficiently scheduling braiding paths. We discover that for quantum programs with a local parallelism pattern, our framework guarantees an optimal solution, while the previous greedy-heuristic-based solution cannot. Moreover, we propose an extension to the local parallelism analysis framework to address the communication bottleneck. Our framework achieves orders of magnitude improvement after addressing the communication bottleneck.",ACM
"Borrelli, Thomas J. and Polak, Monika and Radziszowski, Stanis\l{}aw",Designing and Delivering a Post-Quantum Cryptography Course,2024,10.1145/3626252.3630823,https://doi.org/10.1145/3626252.3630823,Conference paper,SIGCSE 2024: Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,"The security of many commonly used cryptographic protocols, especially public-key cryptosystems, would be compromised if general-purpose, large-scale, fault-tolerant quantum computers become a reality. In this paper we present our experience developing and launching a course in Post-Quantum Cryptography (PQC). PQC refers to cryptographic systems that are secure against both quantum and classical computers. Such systems may be achieved through classical (i.e. non-quantum) means.Because of progress in the design of quantum computers and the ongoing National Institute of Standards and Technology (NIST) process to develop post-quantum cryptographic systems, we realized that there is a need to design a course that covers the consequences of developments in quantum computing (QC),the threats of QC to currently used cryptographic schemes, and how to mitigate those threats by developing quantum-resistant schemes. We designed a new course that is attracting students interested in the future of cryptography and computing security/cybersecurity. We first offered it as an MS-level graduate course, also open to upper-level undergraduates, in Spring 2022, and followed with the second offering in Spring 2023. The course covers the PQC algorithm design process, the consequences of QC, some computationally hard problems and then discusses selected proposals for post-quantum cryptosystems designed to be resistant to known classical and quantum attacks. Three main types of such designs include lattice-based, code-based, and hash-based schemes. These three types are used both for key encapsulation methods (KEM) and digital signatures (DS), and more generally for encryption and authentication.",ACM
"Wang, Xinyi and Arcaini, Paolo and Yue, Tao and Ali, Shaukat",QuSBT: search-based testing of quantum programs,2022,10.1145/3510454.3516839,https://doi.org/10.1145/3510454.3516839,Conference paper,ICSE '22: Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: Companion Proceedings,"Generating a test suite for a quantum program such that it has the maximum number of failing tests is an optimization problem. For such optimization, search-based testing has shown promising results in the context of classical programs. To this end, we present a test generation tool for quantum programs based on a genetic algorithm, called QuSBT (Search-based Testing of Quantum Programs). QuSBT automates the testing of quantum programs, with the aim of finding a test suite having the maximum number of failing test cases. QuSBT utilizes IBM's Qiskit as the simulation framework for quantum programs. We present the tool architecture in addition to the implemented methodology (i.e., the encoding of the search individual, the definition of the fitness function expressing the search problem, and the test assessment w.r.t. two types of failures). Finally, we report results of the experiments in which we tested a set of faulty quantum programs with QuSBT to assess its effectiveness. Repository (code and experimental results): https://github.com/Simula-COMPLEX/qusbt-toolVideo: https://youtu.be/3apRCtluAn4","ACM, IEEE"
"Anand, Christopher Kumar and Gonder, Steven and Dutton, Lucas and O＊Farrell, William",Accelerating and Visualizing Modulo Arithmetic using Multiple Radices,2023,10.5555/3615924.3615937,https://dl.acm.org/doi/10.5555/3615924.3615937,Conference paper,CASCON '23: Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering,"Efficiently implementing modulo arithmetic is a key challenge in ap-plied cryptography. As secure ecommerce, messaging and signing continue to expand, and the footprint of these algorithms grows, the importance of their efficiency also grows. On the other hand, radical new attacks via quantum computing or more incremental weaken-ing through the steady increase in computational resources moti-vate researchers and standardization committees to develop new algorithms. At the heart of most algorithms is arithmetic modulo a prime too big to fit in a machine register. Although multi-limb, in-cluding mixed-radix, algorithms are well known, other researchers continue to discover innovative ways of using new and existing Single-Instruction-Multiple-Data (SIMD) instructions to implement them. In this paper, we will demonstrate a 2.26X improvement over parallel modulo reduction with three limbs as demonstrated by Gadriwala et al. in Bernstein＊s Poly1305 hashing algorithm. The improvement comes from a different choice of radices, and a mid-algorithm change of radices to reduce from three limbs to two. Since this one algorithm can be optimized in multiple contexts (e.g., for intermediate or final rounding), it is useful to have tools to help develop such optimizations. The second contribution of this paper is a prototype visualization tool: a visual debugging tool for integer (especially multi-limb) computations. This tool adds place value as type information to every bit in the computation, and uses that information to detect errors and to display the place values through alignment. We have found the tool useful for exploring possible implementations, and with additional inference rules, it could also be used for verification.",ACM
"Kydros, Asimakis and Prousalis, Konstantinos and Konofaos, Nikos",QuaCiDe: A General Purpose Quantum Circuit Design and Simulation Interface,2024,10.1145/3665870.3665874,https://doi.org/10.1145/3665870.3665874,Conference paper,ReAQCT '24: Proceedings of Recent Advances in Quantum Computing and Technology,"A circuit design interface for simulation of quantum circuits is presented. This simple but powerful tool aims to enable and improve experimentation in the field of quantum computing, either for professional or amateur usage. It provides an intuitive, automated, easy-to-use environment for building algorithms using the circuit model of quantum computation, while freeing the experimenter from technical procedures, such as coding or program installations. It provides a wide range of tools to the user, from a universal gate-set, to custom gate definitions, post-selected measurements, complex compositions of sub-circuits in a recursive way, good modularity and nice output results. Moreover, it is combined with popular backend simulators due to its circuit-parsing capabilities.",ACM
